Year,Group,Sample,SampID,GSample,Drain,Zone,ZoneSimp,Type,Type2,Easting,Northing,Longitude,Latitude,Depth_upper_cm,Depth_lower_cm,DepthMid,pH,EC,Microplastics_fragments,Microplastics_fibres,Microplastics_other,microbeads,MP_total,Al,As,Ba,Ca,Cd,Ce,Co,Cr,Cu,Fe,Ga,Gd,K,La,Li,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,Rb,S,Sc,Sr,Th,Ti,V,Y,Zn
2019,1,1,2019_1_1,1_1,Kitchener,NA,NA,Lake_Sed,Lake_Sed,399989,6468038,115.9421362,-31.9191471,NA,NA,NA,7.62,3.25,2000,11000,1000,NA,14000,8996,4.76,26.5,5180,0.188,11.4,29.4,11,19,28836,NA,1.24,889,8.4,6,3378,79,2.29,14530,4.7,9.4,630,31.1,NA,32366,NA,61,2.1,NA,17.7,3,4176.9
2019,1,2,2019_1_2,1_2,Kitchener,NA,NA,Lake_Sed,Lake_Sed,399981,6468037,115.9420515,-31.91915542,NA,NA,NA,7.15,5.37,NA,3000,2000,NA,5000,37131,6.05,68,3283,0.626,93,19.7,80.4,75.8,44687,NA,6.51,3266,48.6,37.8,5395,46,5.37,19144,36.6,24.4,544,43.2,NA,17944,NA,84,15.7,NA,82.5,23,1215.1
2019,1,3,2019_1_3,1_3,Kitchener,NA,NA,Lake_Sed,Lake_Sed,399971,6468035,115.9419455,-31.91917258,NA,NA,NA,5.59,11.65,3500,NA,NA,NA,3500,28699,3.12,50.5,4433,0.151,81.6,9.3,50.6,54.7,48561,NA,5.73,3091,41.5,27.7,8368,56,2.75,38388,32.5,21.5,419,32,NA,13923,NA,89,15.3,NA,68.6,20.4,417.9
2019,1,4,2019_1_4,1_4,Kitchener,NA,NA,Lake_Sed,Lake_Sed,399958,6468028,115.9418073,-31.91923458,NA,NA,NA,4.95,8.82,NA,NA,1500,NA,1500,33882,NA,93.7,2842,0.092,81,9,65.4,62.9,53061,NA,5.9,2984,41.9,27.7,5790,54,3.05,21379,33.1,22,533,41.8,NA,9875,NA,73,18.6,NA,83.8,18.1,269.6
2019,1,5,2019_1_5,1_5,Kitchener,NA,NA,Lake_Sed,Lake_Sed,399944,6468023,115.9416587,-31.91927845,NA,NA,NA,4.01,8.56,1500,500,NA,NA,2000,31222,6.95,61.2,3054,0.047,82.9,6.7,55.1,50.5,71546,NA,6.9,3107,41.5,28.2,5125,41,4.52,22023,34.9,19.7,744,34.7,NA,8538,NA,83,12.4,NA,89,20.2,172.8
2019,1,6,2019_1_6,1_6,Kitchener,NA,NA,Lake_Sed,Lake_Sed,399930,6468017,115.94151,-31.91933134,NA,NA,NA,4.84,13.09,NA,1500,NA,NA,1500,34765,3.61,65.1,4218,0.03,72.5,7.4,55.5,58.3,38441,NA,5.39,2969,35.4,33.3,6137,38,3.42,28149,29,18.4,465,36.9,NA,8913,NA,103,16,NA,72.3,17.2,176.1
2019,1,7,2019_1_7,1_7,Kitchener,NA,NA,Lake_Sed,Lake_Sed,399919,6468014,115.9413934,-31.91935743,NA,NA,NA,4.89,24.34,3000,1000,1000,NA,5000,27926,4.69,73.9,5528,0.06,64.5,8.5,52.2,59.9,59783,NA,5.02,2820,33.2,26.2,5928,38,4.96,25058,27.1,17.1,765,39.4,NA,16097,NA,149,14.6,NA,83.9,15.3,184.6
2019,1,8,2019_1_8,1_8,Kitchener,NA,NA,Lake_Sed,Lake_Sed,399908,6468006,115.9412762,-31.91942862,NA,NA,NA,5.16,6.63,3000,500,1000,NA,4500,29650,4.27,44.4,6204,0.054,59,6.2,50.5,56.4,37017,NA,4.57,2957,29.3,30.4,6864,35,3.87,38663,24.7,17.4,457,36.1,NA,12093,NA,105,14.8,NA,69.8,13.8,134
2019,1,9,2019_1_9,1_9,Kitchener,NA,NA,Lake_Sed,Lake_Sed,399971,6468021,115.9419441,-31.91929887,NA,NA,NA,NA,NA,500,NA,NA,NA,500,17946,6.65,44.7,4699,0.263,30.2,16.7,30.9,51.1,135488,NA,5.29,2715,18.7,16.2,8722,51,5.14,51442,17,22.8,698,25.2,NA,46641,NA,98,7.8,NA,63,9.9,800.8
2019,2,1,2019_2_1,2_1,Kitchener,NA,NA,Drain_Sed,Drain_Sed_Tidal,399981,6468052,115.942053,-31.91902011,0,15,5,6.67,12.94,19500,2000,NA,NA,21500,4114,1.66,9.4,2304,0.059,4.6,9.7,4.1,NA,9255,NA,0.66,435,3.2,3,1773,22,0.47,10234,2,3.8,284,9.6,NA,10266,NA,27,1,NA,6,1.1,1259.4
2019,2,2a,2019_2_2a,2_2a,Kitchener,NA,NA,Drain_Sed,Drain_Sed_Fresh,399969,6468080,115.941929,-31.91876649,0,15,5,3.53,1.341,1478,2464,NA,NA,3942,2568,NA,4.6,492,0.015,2.2,2.7,2.8,NA,2749,NA,NA,59,1.2,1,176,6,0.25,158,0.8,NA,96,3.3,NA,1500,NA,5,0.7,NA,4.7,0.4,224
2019,2,2b,2019_2_2b,2_2b,Kitchener,NA,NA,Drain_Sed,Drain_Sed_Fresh,399969,6468080,115.941929,-31.91876649,15,30,20,4.62,2.013,13473,998,NA,NA,14471,4854,1.1,11.4,1190,0.036,5.2,5.5,5.6,NA,4370,NA,NA,132,2.9,2.1,331,16,0.2,654,2,NA,272,6.4,NA,1544,NA,10,1.3,NA,7.1,0.9,459
2019,2,3,2019_2_3,2_3,Kitchener,NA,NA,Drain_Sed,Drain_Sed_Fresh,399960,6468093,115.9418352,-31.91864843,0,15,5,4.74,2.923,997,5486,NA,NA,6483,14152,7.38,68.6,8995,0.222,19,33,16.2,201.2,28231,NA,1.89,396,12.2,5,1076,75,0.96,1324,7.7,10,2034,28.3,NA,13978,NA,51,2,NA,27.2,4,2789.3
2019,2,4,2019_2_4,2_4,Kitchener,NA,NA,Drain_Sed,Drain_Sed_Fresh,399939,6468110,115.9416148,-31.91849323,0,15,5,4.22,1.575,497,497,NA,NA,994,3732,1.28,11,1391,0.037,6.1,4.3,3.8,NA,3518,NA,NA,161,2.8,1.6,271,11,0.21,352,2,NA,244,6.2,NA,1577,NA,12,0.5,NA,5.3,1,502.9
2019,2,5,2019_2_5,2_5,Kitchener,NA,NA,Drain_Sed,Drain_Sed_Fresh,399934,6468116,115.9415626,-31.91843867,0,15,5,4.93,1.046,17955,NA,NA,NA,17955,2675,0.99,7.1,1094,0.027,3.7,4.5,3,8.8,2851,NA,NA,83,2.3,1,183,9,0.14,212,1.6,NA,170,6.8,NA,1111,NA,6,0.4,NA,4.5,0.8,380.7
2019,2,6,2019_2_6,2_6,Kitchener,NA,NA,Drain_Sed,Drain_Sed_Fresh,399927,6468136,115.9414906,-31.91825765,0,15,5,5.58,0.738,500,500,NA,NA,1000,4499,2.79,15.1,2170,0.078,6.8,25.1,4.7,7.7,7538,NA,0.77,166,3.9,1.7,392,78,0.31,368,2.5,NA,420,9.2,NA,3163,NA,14,2.6,NA,10.1,1.6,981.6
2019,2,7,2019_2_7,2_7,Kitchener,NA,NA,Drain_Sed,Drain_Sed_Fresh,399913,6468165,115.9413455,-31.91799482,0,15,5,5.62,0.739,100,3500,NA,NA,3600,5870,2.13,23.3,2007,0.043,8.3,29.9,7.1,NA,11144,NA,0.68,160,3.9,1.6,353,139,0.24,305,2.9,NA,521,10.7,NA,1676,NA,14,2.2,NA,12.8,1.5,700.6
2019,2,8,2019_2_8,2_8,Kitchener,NA,NA,Drain_Sed,Drain_Sed_Tidal,399993,6468025,115.9421771,-31.91926472,0,15,5,5.25,15.15,NA,NA,NA,NA,NA,14663,7.57,25.5,6640,0.443,19.5,40.7,19.9,44.3,32962,NA,1.98,1600,13.2,11.7,6872,152,6.66,33719,8.3,15.7,1075,40,NA,40943,NA,98,2.9,NA,33.6,4.9,5210.4
2019,2,9,2019_2_9,2_9,Kitchener,NA,NA,Drain_Sed,Drain_Sed_Tidal,400006,6467977,115.9423097,-31.91969885,0,15,5,6.47,6.06,17920,995,NA,NA,18915,35638,1.04,37.3,2230,0.167,73.5,15.1,54.6,27.1,54763,NA,5.93,2170,42.5,52.3,3533,199,2.38,8222,29.1,18.8,379,24.3,NA,1726,NA,43,15.1,NA,83,20.9,113.6
2019,2,10,2019_2_10,2_1,Kitchener,NA,NA,Drain_Sed,Drain_Sed_Fresh,399973,6468065,115.9419698,-31.91890215,0,15,5,3.49,10.45,1494,1993,NA,NA,3487,8215,4.7,23.3,1842,0.156,11.2,10.4,11.9,19.2,11441,NA,1.16,486,6.9,4.6,1691,27,1.71,8905,4.6,5.6,623,24.9,NA,6688,NA,23,1.2,NA,16.9,2.4,1120
2019,3,1,2019_3_1,3_1,Chapman,NA,NA,Drain_Sed,Drain_Sed_Tidal,400068,6467981,115.9429658,-31.91966822,NA,NA,NA,7.54,2.656,6500,4000,NA,NA,10500,23332,6.84,32.8,3311,0.248,51.9,12,36.4,78.6,32906,NA,3.9,1382,27.1,26.9,3184,103,2.44,7618,20.7,14.8,320,39.2,NA,14970,NA,45,12.6,NA,54.9,14.1,232.6
2019,3,2,2019_3_2,3_2,Chapman,NA,NA,Drain_Sed,Drain_Sed_Tidal,400086,6467997,115.9431578,-31.91952548,NA,NA,NA,7.68,1.382,4000,NA,NA,NA,4000,25080,5.26,28.2,1967,0.038,51,7.9,34.3,25.7,24378,NA,3.7,1265,26.4,31.1,2412,67,1.57,3925,19.9,12.3,170,23.3,NA,5785,NA,29,11.3,NA,43.7,13.3,59
2019,3,3,2019_3_3,3_3,Chapman,NA,NA,Drain_Sed,Drain_Sed_Tidal,400090,6468004,115.9432008,-31.91946269,NA,NA,NA,8.08,1.7,3500,2000,NA,NA,5500,20600,8.54,25.9,2624,0.189,48.9,16.7,30.6,70.3,47878,NA,4.07,1230,26.5,23.4,2631,115,1.71,4205,19.3,17.3,340,49.9,NA,16082,NA,39,8.1,NA,48.7,13.2,189.3
2019,3,4,2019_3_4,3_4,Chapman,NA,NA,Drain_Sed,Drain_Sed_Tidal,400101,6468013,115.9433181,-31.91938247,NA,NA,NA,8.27,1.014,4500,2000,NA,NA,6500,25170,11.52,29.4,2301,0.521,55.3,18.5,36.4,217.1,45712,NA,4.57,1390,28.7,31.4,2809,73,3.65,5161,21.8,17.8,492,72.4,NA,10020,NA,36,10.1,NA,54.9,14.8,403.4
2019,3,5,2019_3_5,3_5,Chapman,NA,NA,Drain_Sed,Drain_Sed_Tidal,400112,6468026,115.9434358,-31.91926617,NA,NA,NA,7.46,2.81,2500,1500,NA,NA,4000,28997,4.31,35.7,3682,0.335,79.5,25.5,49.8,58.1,41723,NA,5.6,2056,41,31.7,3875,123,2.32,8707,31.1,23.5,452,48,NA,14246,NA,53,12.5,NA,68.4,20.7,314.8
2019,3,6,2019_3_6,3_6,Chapman,NA,NA,Drain_Sed,Drain_Sed_Tidal,400123,6468034,115.9435529,-31.91919498,NA,NA,NA,7.34,2.62,2000,500,NA,NA,2500,34925,7.39,29.6,1857,0.206,65.1,18,51.5,48.5,78239,NA,6.51,1831,28.1,44,2932,102,11.76,5253,28.8,22.6,472,33.8,NA,3405,NA,31,14.9,NA,89.3,17.2,164.3
2019,3,7,2019_3_7,3_7,Chapman,NA,NA,Drain_Sed,Drain_Sed_Tidal,400133,6468045,115.9436598,-31.91909663,NA,NA,NA,7.17,4.25,2000,1000,NA,NA,3000,31952,5.61,27.4,1967,0.19,86.9,12.6,47.7,36.5,53069,NA,6.28,1572,43.6,42.9,2717,77,11.49,4171,32.3,18.7,400,30,NA,3921,NA,34,12.9,NA,77.5,25.4,136.4
2019,4,1,2019_4_1,4_1,Chapman,NA,NA,Drain_Sed,Drain_Sed_Fresh,400375,6468287,115.9462441,-31.91693495,0,12.5,5,6.9,0.2158,1015,NA,NA,NA,1015,11530,2.84,45.1,798,0.023,14.9,1.8,22.2,93.7,32507,NA,1.9,1554,9,7.1,810,50,2.93,354,6.8,5,114,70.9,NA,2276,NA,9,9.1,NA,31.7,1.6,30.1
2019,4,2,2019_4_2,4_2,Chapman,NA,NA,Drain_Sed,Drain_Sed_Fresh,400365,6468278,115.9461374,-31.91701526,0,12.5,5,6.8,1.01,37500,500,NA,NA,38000,20311,15.86,31.1,1780,0.906,23.1,10.9,45.2,172.6,60516,NA,2.79,1431,12.6,14.3,2343,52,4.57,1436,10.9,12.5,449,70.8,NA,12418,NA,22,14.2,NA,90.9,4.6,514.7
2019,4,3,2019_4_3,4_3,Chapman,NA,NA,Drain_Sed,Drain_Sed_Fresh,400342,6468255,115.9458918,-31.91722071,0,12.5,5,5.43,0.5434,39800,NA,NA,NA,39800,11397,13.9,16.3,861,0.74,24.1,13.6,20.4,206.9,35730,NA,2.37,697,11.5,9,1249,36,3.3,1911,10.4,9.7,233,67.9,NA,9509,NA,12,6.6,NA,26.1,5.1,419.6
2019,4,4,2019_4_4,4_4,Chapman,NA,NA,Drain_Sed,Drain_Sed_Fresh,400326,6468241,115.9457212,-31.91734559,0,12.5,5,6.6,0.47,59113,500,NA,NA,59613,15019,2.75,66.9,709,0.069,26,4.1,23,26.3,18919,NA,1.98,971,12.1,13.3,1203,36,3.5,1274,11,5.5,139,25.8,NA,1495,NA,18,9.4,NA,32.9,4.2,57
2019,4,5,2019_4_5,4_5,Chapman,NA,NA,Drain_Sed,Drain_Sed_Fresh,400303,6468218,115.9454756,-31.91755104,0,12.5,5,7,1.385,980,980,NA,NA,1960,23689,3.26,77.8,952,0.049,26.4,4.6,51.4,24.2,37176,NA,2.7,1814,13.5,22.4,2356,50,6.55,2793,11.7,9,92,11.4,NA,1356,NA,26,19.8,NA,80,4.5,39.7
2019,4,6,2019_4_6,4_6,Chapman,NA,NA,Drain_Sed,Drain_Sed_Fresh,400271,6468185,115.9451337,-31.91784591,0,12.5,5,6.64,0.902,3003,NA,NA,NA,3003,30298,2.44,45,1501,0.103,88.7,8.6,50.4,36.2,38361,NA,6.34,2377,41.2,28.3,2425,90,2.87,3453,34.4,17.4,288,28,NA,5956,NA,24,14.6,NA,63.2,20.8,102.9
2019,4,7,2019_4_7,4_7,Chapman,NA,NA,Drain_Sed,Drain_Sed_Tidal,400220,6468133,115.944589,-31.91831049,0,12.5,5,6,1.86,NA,NA,NA,NA,NA,26873,26.16,55.4,2809,1.411,43.8,21.6,43.1,522.6,70016,NA,4.47,1431,21.5,24.1,3169,86,4.8,6490,19.5,21.9,1265,207.4,NA,13010,NA,41,10.9,NA,62,11.5,1134.6
2019,4,8,2019_4_8,4_8,Chapman,NA,NA,Drain_Sed,Drain_Sed_Tidal,400188,6468103,115.9442475,-31.91857829,0,12.5,5,6.18,2.268,42288,NA,NA,NA,42288,18427,4.23,45,1370,0.335,24.3,6.1,34.5,183.6,25410,NA,2.01,1244,12.9,18.8,2041,51,3.02,3988,9.9,11,513,61.5,NA,5310,NA,27,12,NA,44.1,4.7,249.7
2019,6,1,2019_6_1,6_1,Chapman,NA,NA,Lake_Sed,Lake_Sed,400328,6468226,115.9457408,-31.91748107,0,10,5,6.19,3.44,4988,2993,1995,NA,9976,37034,13.84,157.6,3257,0.202,203.9,10.9,56,417.7,48343,NA,12.47,3009,94.4,43.7,4908,74,3.16,16320,70.3,25.1,1872,472.8,NA,5184,NA,239,10.8,NA,65.2,46.2,257.3
2019,6,2,2019_6_2,6_2,Chapman,NA,NA,Lake_Sed,Lake_Sed,400336,6468228,115.9458256,-31.91746374,0,10,5,6.15,3.008,4978,996,NA,NA,5974,36701,4.37,78.1,1584,0.079,126.3,9,66.6,127.4,36526,NA,7.79,2797,59.8,29.7,4555,65,0.9,12143,45.9,24.3,478,90.8,NA,1719,NA,48,19.9,NA,69.3,26.6,138.7
2019,6,3,2019_6_3,6_3,Chapman,NA,NA,Lake_Sed,Lake_Sed,400341,6468228,115.9458785,-31.91746417,0,10,5,6.26,3.25,4990,998,NA,NA,5988,32241,19.2,121.5,3766,0.14,143.3,9.1,58.4,386.5,50725,NA,8.46,2490,77.8,27.5,4898,64,3.42,18093,47.8,21.8,2392,831.1,NA,4000,NA,204,11.4,NA,70.2,35.1,191.6
2019,6,4,2019_6_4,6_4,Chapman,NA,NA,Lake_Sed,Lake_Sed,400349,6468226,115.9459629,-31.91748292,0,10,5,6.52,8.79,1001,501,2002,NA,3504,36723,5.39,81.3,1891,0.051,136.3,9.5,61.8,116.1,38565,NA,8.51,2798,61.3,33.8,4867,75,1.15,14006,48.9,21.1,705,84.5,NA,2075,NA,72,19.6,NA,68,29,156.2
2019,6,5,2019_6_5,6_5,Chapman,NA,NA,Lake_Sed,Lake_Sed,400356,6468229,115.9460372,-31.91745647,0,10,5,6.59,7.39,NA,996,1991,NA,2987,34334,NA,82.4,1872,0.096,161.4,10.2,58.2,99.5,41691,NA,9.56,2720,79.9,35.3,4576,94,1.45,11670,54.9,22.4,610,71.2,NA,2072,NA,68,17.6,NA,71.7,38.2,214.5
2019,6,6,2019_6_6,6_6,Chapman,NA,NA,Lake_Sed,Lake_Sed,400364,6468230,115.9461219,-31.91744815,0,10,5,6.37,10.52,3493,NA,499,NA,3992,35412,6.56,74.3,2980,0.115,106.3,19.2,59.6,260.6,72096,NA,7.79,2924,55.1,34,5866,195,2.22,19469,40.3,38.8,1100,123.6,NA,3404,NA,77,16.9,NA,69.2,25.1,344.1
2019,6,7,2019_6_7,6_7,Chapman,NA,NA,Lake_Sed,Lake_Sed,400370,6468229,115.9461853,-31.9174577,0,10,5,6.57,5,NA,499,NA,NA,499,35372,4.75,82.9,2051,0.091,150.3,11.4,62.5,110.3,39637,NA,8.98,2861,76.8,36.2,5232,107,1.2,13792,52,24.6,520,59,NA,2190,NA,63,19.8,NA,73.1,34.5,195.2
2019,6,8,2019_6_8,6_8,Chapman,NA,NA,Lake_Sed,Lake_Sed,400378,6468229,115.9462699,-31.9174584,0,10,5,6.61,4.52,1997,2496,499,NA,4992,36609,4.43,79.1,2167,0.093,183.7,8.8,58.9,89.6,29020,NA,10.84,2721,86.1,41,4435,97,1.08,12034,63.2,21.7,357,45.8,NA,2023,NA,62,18.7,NA,66.5,41.9,126.9
2019,6,9,2019_6_9,6_9,Chapman,NA,NA,Lake_Sed,Lake_Sed,400387,6468228,115.946365,-31.91746821,0,10,5,6.63,8.85,1995,NA,NA,NA,1995,33066,2.76,82,2006,0.083,133.2,12.8,60.1,101.9,40911,NA,8.08,2896,67.1,33.1,4880,104,1.19,13685,47.5,25.4,501,50.4,NA,2150,NA,59,20,NA,71.6,30.4,205.5
2019,6,10,2019_6_10,6_1,Chapman,NA,NA,Lake_Sed,Lake_Sed,400396,6468227,115.94646,-31.91747802,0,10,5,6.63,8.14,15000,500,NA,NA,15500,34278,6.88,81,2172,0.186,173.2,16.1,60.7,155,47101,NA,10.14,3097,90.9,39.3,5215,105,1.36,13498,58.6,32.3,736,71.8,NA,2508,NA,74,18.2,NA,71.8,42.4,405.4
2019,5,1,2019_5_1,5_1,Chapman,NA,NA,Lake_Sed,Lake_Sed,400315,6468224,115.9456031,-31.91749797,0,10,5,6.04,3.66,500,4000,500,NA,5000,27240,26.72,58.3,3681,1.602,49.2,26.9,41.6,1007.8,55535,NA,4.32,1721,23.6,19.4,3492,1399,3.52,10260,20.3,19.4,1453,241.4,NA,2179,NA,54,8.6,NA,53.5,11.5,724.8
2019,5,2,2019_5_2,5_2,Chapman,NA,NA,Lake_Sed,Lake_Sed,400303,6468233,115.9454771,-31.91741574,0,10,5,6.21,2.312,NA,500,NA,NA,500,44379,4.94,76.8,2811,0.175,168.1,9.5,66.1,97.7,32988,NA,9.93,2918,75.6,39.1,3913,65,1.04,7626,58.9,25,374,44.3,NA,1624,NA,55,18.4,NA,70.6,38,203.1
2019,5,3,2019_5_3,5_3,Chapman,NA,NA,Lake_Sed,Lake_Sed,400291,6468238,115.9453507,-31.91736958,0,10,5,5.82,2.379,NA,NA,NA,NA,NA,44313,3.82,72,4825,0.285,189.6,14.2,65.6,225.4,46019,NA,12.04,2868,88.7,43.7,4598,95,1.29,10098,69.1,30.6,804,63.6,NA,3212,NA,75,16.5,NA,78.6,47.9,320.3
2019,5,4,2019_5_4,5_4,Chapman,NA,NA,Lake_Sed,Lake_Sed,400286,6468239,115.9452979,-31.91736012,0,10,5,5.93,3.14,500,NA,NA,NA,500,48376,5.17,59,4150,0.262,145.9,13.3,66.5,192.8,34992,NA,9.19,3118,69.1,41.3,4835,84,1.64,13074,53.9,34.7,580,53.3,NA,3110,NA,63,17.4,NA,67.6,33.7,333
2019,5,5,2019_5_5,5_5,Chapman,NA,NA,Lake_Sed,Lake_Sed,400279,6468245,115.9452245,-31.91730538,0,10,5,5.76,1.805,3500,500,NA,NA,4000,44878,6.77,60,3940,0.276,187.8,14.1,64.9,213,37555,NA,11.43,3060,90.6,45.9,5223,88,1.41,14117,67.2,33.3,525,47.7,NA,3107,NA,69,16.6,NA,70.9,47,286.1
2019,5,6,2019_5_6,5_6,Chapman,NA,NA,Lake_Sed,Lake_Sed,400268,6468252,115.9451089,-31.91724128,0,10,5,5.76,3.21,1500,500,NA,NA,2000,44975,3.09,57.9,4490,0.29,221.1,15.2,62.8,179.7,43310,NA,13.64,2995,104.3,51.6,5386,97,1.64,14573,80.3,32.6,462,44.6,NA,3487,NA,75,14.4,NA,73.1,56.9,340.5
2019,5,7,2019_5_7,5_7,Chapman,NA,NA,Lake_Sed,Lake_Sed,400259,6468257,115.9450142,-31.91719538,0,10,5,5.89,2.297,NA,500,2000,NA,2500,50293,4.82,58.9,2434,0.196,186.7,12.5,70,92.5,46872,NA,11.72,2902,93.1,54.7,4573,84,3.52,10559,67.8,31.1,419,29.4,NA,1714,NA,57,17.4,NA,81.8,48.8,206.6
2019,5,8,2019_5_8,5_8,Chapman,NA,NA,Lake_Sed,Lake_Sed,400253,6468262,115.9449513,-31.91714975,0,10,5,5.71,2.005,13500,1000,1000,NA,15500,42915,3.48,53.2,3852,0.143,179.2,12.6,61.4,92.7,48186,NA,11.98,2882,86.1,44.6,4834,89,4.52,12571,67.6,29.9,427,30.7,NA,3240,NA,68,15.2,NA,78.3,47.6,197.7
