Depth_[m],Depth_top_[m],Depth_bot_[m],Mode,D50,Grain_size_mean,Sort,Q90,Q99,F_0.06,F_0.07,F_0.08,F_0.09,F_0.11,F_0.13,F_0.15,F_0.17,F_0.2,F_0.23,F_0.27,F_0.31,F_0.36,F_0.42,F_0.49,F_0.58,F_0.67,F_0.78,F_0.91,F_1.06,F_1.24,F_1.44,F_1.68,F_1.95,F_2.28,F_2.65,F_3.09,F_3.6,F_4.19,F_4.88,F_5.69,F_6.63,F_7.72,F_9,F_10.48,F_12.21,F_14.22,F_16.57,F_19.31,F_22.49,F_26.2,F_30.53,F_35.56,F_41.43,F_48.27,F_56.23,F_65.51,F_76.32,F_88.91,F_103.58,F_120.67,F_140.58,F_163.77,F_190.8,F_222.28,F_258.95,F_301.68,F_351.46,F_409.45,F_477.01,F_555.71,F_647.41,F_754.23,F_878.67
0.643,0.64,0.645,51.98,30.9,40.95,2.39,102.46,219.08,0,0,0,0.01,0.02,0.04,0.07,0.12,0.19,0.28,0.37,0.44,0.47,0.46,0.44,0.42,0.39,0.37,0.39,0.42,0.46,0.52,0.6,0.68,0.79,0.91,1.05,1.2,1.37,1.54,1.72,1.9,2.08,2.26,2.46,2.67,2.91,3.2,3.52,3.89,4.29,4.69,5.06,5.38,5.63,5.81,5.57,5.09,4.42,3.66,2.89,2.19,1.63,1.21,0.91,0.61,0.31,0.01,0,0,0,0,0,0
0.648,0.645,0.65,59.91,30.66,44.08,2.68,116.11,228.18,0,0,0.01,0.02,0.03,0.06,0.1,0.15,0.23,0.31,0.4,0.46,0.48,0.47,0.44,0.42,0.39,0.37,0.39,0.43,0.48,0.55,0.63,0.73,0.85,1,1.17,1.36,1.56,1.77,1.97,2.16,2.33,2.48,2.61,2.74,2.87,3.03,3.22,3.45,3.72,4.03,4.35,4.64,4.88,5.05,5.17,4.94,4.52,3.98,3.38,2.77,2.22,1.75,1.29,0.82,0.35,0,0,0,0,0,0,0
0.653,0.65,0.655,49.69,21.5,38.36,2.81,112.35,257.74,0,0,0.01,0.02,0.03,0.06,0.1,0.16,0.24,0.33,0.42,0.48,0.5,0.49,0.48,0.46,0.43,0.42,0.45,0.49,0.55,0.64,0.75,0.87,1.04,1.24,1.48,1.74,2.03,2.31,2.59,2.83,3.04,3.21,3.34,3.43,3.5,3.57,3.64,3.72,3.82,3.92,4.01,4.07,4.1,4.1,3.9,3.59,3.22,2.82,2.45,2.12,1.84,1.59,1.34,1.04,0.67,0.3,0,0,0,0,0,0
0.658,0.655,0.66,24.81,14.96,26.17,2.64,76,245.21,0,0,0.01,0.02,0.04,0.07,0.12,0.2,0.29,0.4,0.52,0.6,0.63,0.62,0.6,0.58,0.55,0.53,0.57,0.63,0.71,0.82,0.96,1.13,1.35,1.6,1.88,2.18,2.5,2.81,3.1,3.36,3.58,3.76,3.88,3.98,4.04,4.09,4.13,4.16,4.17,4.16,4.11,4.03,3.78,3.42,2.95,2.43,1.93,1.51,1.2,1.03,0.96,0.93,0.88,0.74,0.5,0.26,0,0,0,0,0,0
0.663,0.66,0.665,37.38,17.48,28.33,2.67,79.54,246.46,0,0,0.01,0.02,0.04,0.07,0.12,0.2,0.29,0.41,0.52,0.61,0.63,0.62,0.6,0.58,0.55,0.54,0.58,0.63,0.71,0.82,0.94,1.09,1.27,1.48,1.72,1.97,2.23,2.48,2.72,2.94,3.14,3.31,3.47,3.61,3.75,3.9,4.06,4.21,4.35,4.45,4.53,4.57,4.37,3.98,3.44,2.8,2.16,1.6,1.18,0.93,1.19,1.07,0.96,0.78,0.51,0.22,0.04,0,0,0,0,0
0.668,0.665,0.67,36.16,16.96,31.43,2.73,94.38,277.23,0,0,0.01,0.02,0.04,0.07,0.11,0.18,0.27,0.38,0.49,0.57,0.59,0.58,0.56,0.54,0.51,0.49,0.53,0.58,0.65,0.76,0.89,1.05,1.25,1.48,1.74,2.03,2.33,2.62,2.9,3.15,3.36,3.53,3.66,3.76,3.83,3.89,3.94,3.99,4.02,4.03,4.03,4.01,3.84,3.56,3.2,2.79,2.37,1.98,1.65,1.41,1.24,1.14,1.07,0.96,0.77,0.46,0.15,0,0,0,0,0
0.673,0.67,0.675,42.59,19.5,39.73,2.9,126.37,373.17,0.01,0.02,0.03,0.05,0.09,0.14,0.2,0.27,0.35,0.44,0.51,0.55,0.56,0.54,0.52,0.49,0.46,0.45,0.5,0.56,0.64,0.74,0.87,1.02,1.21,1.42,1.65,1.9,2.16,2.41,2.64,2.85,3.02,3.17,3.28,3.38,3.46,3.54,3.63,3.73,3.82,3.9,3.95,3.97,3.96,3.74,3.4,2.98,2.52,2.09,1.72,1.45,1.3,1.26,1.29,1.34,1.31,1.16,0.84,0.52,0,0,0,0
0.678,0.675,0.68,20.88,14.39,23.77,2.52,66.85,214.69,0,0,0.01,0.01,0.02,0.05,0.09,0.16,0.25,0.37,0.49,0.59,0.63,0.62,0.59,0.57,0.53,0.51,0.55,0.61,0.69,0.81,0.96,1.14,1.36,1.62,1.91,2.23,2.56,2.88,3.19,3.47,3.71,3.92,4.08,4.19,4.28,4.35,4.39,4.4,4.38,4.34,4.28,4.06,3.73,3.29,2.78,2.26,1.78,1.38,1.08,0.89,0.77,0.69,0.61,0.48,0.29,0.1,0,0,0,0,0,0
0.683,0.68,0.685,13.32,13.59,24.25,2.38,71.93,253.53,0,0,0.01,0.02,0.03,0.06,0.1,0.17,0.25,0.36,0.46,0.54,0.56,0.55,0.52,0.49,0.46,0.43,0.47,0.51,0.59,0.69,0.83,1,1.23,1.51,1.84,2.22,2.62,3.03,3.44,3.81,4.14,4.41,4.6,4.72,4.76,4.73,4.63,4.48,4.29,4.06,3.79,3.46,3.08,2.66,2.22,1.8,1.43,1.14,0.93,0.83,1.18,1.1,1,0.83,0.56,0.26,0.07,0,0,0,0,0
0.688,0.685,0.69,8.13,8.29,14.52,2.35,42.76,235.05,0,0.01,0.02,0.04,0.07,0.11,0.18,0.27,0.39,0.52,0.64,0.73,0.76,0.74,0.72,0.7,0.68,0.69,0.78,0.9,1.05,1.25,1.49,1.79,2.14,2.52,2.95,3.39,3.82,4.2,4.52,4.75,4.88,4.91,4.85,4.7,4.5,4.24,3.96,3.62,3.28,2.94,2.6,2.27,1.92,1.58,1.26,0.98,0.76,0.59,0.47,0.41,0.4,0.43,0.46,0.46,0.4,0.24,0.08,0,0,0,0,0
0.693,0.69,0.695,7.25,9.71,47.23,3.04,196.14,402.48,0.02,0.04,0.07,0.11,0.16,0.23,0.31,0.4,0.5,0.58,0.65,0.69,0.7,0.68,0.65,0.63,0.61,0.63,0.72,0.83,0.97,1.15,1.36,1.63,1.94,2.28,2.66,3.05,3.42,3.74,3.99,4.15,4.21,4.17,4.05,3.84,3.6,3.32,3.04,2.76,2.51,2.28,2.07,1.87,1.71,1.55,1.38,1.22,1.07,0.96,0.92,0.98,1.16,1.46,1.8,2.09,2.18,1.96,1.41,0.86,0,0,0,0
0.698,0.695,0.7,9.62,10.64,20.8,2.34,65.13,246.9,0,0,0.01,0.02,0.04,0.07,0.12,0.2,0.3,0.42,0.53,0.62,0.64,0.62,0.58,0.55,0.52,0.51,0.56,0.63,0.73,0.87,1.04,1.26,1.54,1.87,2.27,2.73,3.21,3.68,4.12,4.5,4.79,4.96,5.01,4.95,4.79,4.54,4.23,3.9,3.54,3.19,2.87,2.58,2.28,1.99,1.69,1.42,1.17,0.96,0.82,1.13,1.03,0.98,0.91,0.75,0.5,0.23,0.05,0,0,0,0,0
0.703,0.7,0.705,13.73,13.43,21.79,2.31,60.8,203.39,0,0,0.01,0.02,0.03,0.06,0.1,0.16,0.25,0.35,0.45,0.53,0.55,0.54,0.52,0.5,0.46,0.45,0.49,0.53,0.61,0.71,0.84,1.01,1.22,1.49,1.81,2.18,2.58,3.01,3.43,3.83,4.19,4.49,4.71,4.85,4.91,4.9,4.81,4.67,4.48,4.27,3.99,3.65,3.27,2.83,2.38,1.93,1.53,1.2,0.95,0.78,0.67,0.6,0.52,0.41,0.24,0.07,0,0,0,0,0,0
0.708,0.705,0.71,14.44,14.36,24.32,2.44,69.27,221.07,0,0,0.01,0.01,0.03,0.05,0.1,0.16,0.24,0.34,0.44,0.51,0.54,0.52,0.51,0.49,0.46,0.45,0.48,0.54,0.61,0.72,0.85,1.02,1.24,1.5,1.81,2.17,2.55,2.93,3.3,3.65,3.94,4.19,4.37,4.48,4.54,4.54,4.5,4.43,4.32,4.2,4.06,3.84,3.55,3.18,2.76,2.31,1.89,1.5,1.19,0.96,0.8,0.69,0.58,0.46,0.33,0.2,0,0,0,0,0,0
0.713,0.71,0.715,16.49,16.16,27.95,2.44,80.77,241.15,0,0,0.01,0.01,0.03,0.05,0.09,0.15,0.23,0.32,0.42,0.49,0.51,0.49,0.47,0.44,0.41,0.39,0.42,0.46,0.52,0.6,0.72,0.87,1.06,1.3,1.59,1.92,2.29,2.66,3.04,3.4,3.73,4.01,4.23,4.38,4.49,4.53,4.53,4.49,4.41,4.29,4.15,3.99,3.71,3.36,2.96,2.54,2.13,1.77,1.46,1.23,1.07,0.95,0.84,0.68,0.46,0.24,0,0,0,0,0,0
0.718,0.715,0.72,17.51,16.88,31.17,2.51,93.95,275.05,0,0.01,0.01,0.02,0.04,0.08,0.12,0.19,0.26,0.35,0.44,0.49,0.5,0.49,0.46,0.43,0.4,0.39,0.42,0.46,0.52,0.61,0.72,0.87,1.06,1.28,1.56,1.87,2.22,2.57,2.93,3.27,3.58,3.85,4.06,4.22,4.32,4.38,4.4,4.37,4.31,4.22,4.1,3.96,3.68,3.33,2.92,2.49,2.09,1.75,1.5,1.34,1.26,1.22,1.17,1.06,0.82,0.45,0.09,0,0,0,0,0
0.723,0.72,0.725,12.68,15.09,28.95,2.58,88.06,255.52,0,0,0.01,0.02,0.03,0.06,0.1,0.17,0.25,0.34,0.44,0.51,0.53,0.52,0.5,0.47,0.44,0.43,0.46,0.51,0.58,0.68,0.82,0.98,1.2,1.47,1.78,2.14,2.52,2.9,3.26,3.59,3.86,4.06,4.2,4.26,4.28,4.24,4.18,4.1,4,3.89,3.77,3.65,3.43,3.15,2.81,2.45,2.1,1.78,1.53,1.35,1.23,1.14,1.04,0.87,0.6,0.33,0,0,0,0,0,0
0.728,0.725,0.73,13.95,16.08,31.34,2.57,96.43,274.86,0,0.01,0.01,0.02,0.04,0.07,0.12,0.18,0.25,0.34,0.42,0.47,0.48,0.47,0.45,0.43,0.4,0.39,0.42,0.47,0.53,0.63,0.75,0.91,1.12,1.36,1.66,2.01,2.38,2.75,3.12,3.46,3.75,3.98,4.15,4.25,4.29,4.29,4.25,4.17,4.08,3.96,3.84,3.71,3.48,3.19,2.85,2.49,2.15,1.85,1.61,1.44,1.33,1.25,1.17,1.03,0.8,0.45,0.1,0,0,0,0,0
0.733,0.73,0.735,9.83,12.81,25.79,2.67,79.9,264.88,0,0.01,0.02,0.03,0.05,0.09,0.14,0.21,0.3,0.4,0.49,0.56,0.58,0.56,0.54,0.53,0.5,0.51,0.56,0.64,0.74,0.87,1.04,1.25,1.51,1.81,2.16,2.53,2.91,3.27,3.58,3.84,4.02,4.13,4.17,4.15,4.08,3.99,3.89,3.79,3.69,3.6,3.51,3.38,3.18,2.9,2.55,2.16,1.78,1.45,1.21,1.08,1.03,1.02,1,0.9,0.67,0.44,0,0,0,0,0,0
0.738,0.735,0.74,9.9,11.98,23.41,2.54,71.98,255.28,0,0.01,0.02,0.03,0.05,0.09,0.14,0.21,0.3,0.39,0.49,0.55,0.57,0.56,0.54,0.52,0.5,0.51,0.57,0.64,0.74,0.88,1.04,1.25,1.51,1.82,2.18,2.57,2.99,3.39,3.76,4.06,4.29,4.44,4.49,4.46,4.37,4.23,4.07,3.89,3.71,3.54,3.37,3.18,2.94,2.64,2.28,1.91,1.57,1.29,1.08,0.96,0.92,0.9,0.87,0.77,0.57,0.37,0,0,0,0,0,0
0.743,0.74,0.745,0.34,15.71,28.9,2.61,85.88,251.83,0,0.01,0.01,0.02,0.04,0.07,0.12,0.18,0.26,0.34,0.43,0.49,0.51,0.5,0.48,0.46,0.44,0.43,0.47,0.53,0.6,0.71,0.85,1.02,1.23,1.48,1.78,2.12,2.47,2.81,3.15,3.44,3.69,3.89,4.02,4.1,4.14,4.15,4.13,4.1,4.06,4,3.94,3.87,3.68,3.39,3.02,2.62,2.22,1.86,1.56,1.33,1.17,1.04,0.92,0.77,0.55,0.33,0,0,0,0,0,0
0.748,0.745,0.75,15.5,14.8,24.98,2.43,71.09,234.67,0,0,0.01,0.02,0.03,0.06,0.1,0.16,0.24,0.33,0.43,0.5,0.53,0.51,0.49,0.47,0.43,0.42,0.46,0.51,0.58,0.68,0.82,0.98,1.2,1.45,1.76,2.11,2.49,2.87,3.25,3.59,3.89,4.14,4.32,4.45,4.52,4.55,4.53,4.48,4.39,4.28,4.16,3.94,3.62,3.21,2.74,2.26,1.82,1.45,1.17,0.98,0.86,0.79,0.71,0.6,0.41,0.22,0,0,0,0,0,0
0.753,0.75,0.755,12.32,13.64,24.9,2.59,73.61,235.05,0,0.01,0.02,0.03,0.05,0.09,0.14,0.21,0.3,0.39,0.49,0.55,0.57,0.55,0.53,0.5,0.48,0.48,0.53,0.6,0.69,0.82,0.97,1.17,1.41,1.69,2.02,2.37,2.74,3.09,3.41,3.69,3.91,4.07,4.17,4.21,4.22,4.19,4.14,4.07,3.99,3.91,3.82,3.67,3.43,3.11,2.72,2.31,1.91,1.56,1.27,1.06,0.91,0.82,0.73,0.61,0.41,0.22,0,0,0,0,0,0
0.758,0.755,0.76,14.33,15.48,29.89,2.65,91.34,280.81,0,0.01,0.01,0.03,0.05,0.08,0.13,0.2,0.28,0.38,0.47,0.53,0.54,0.52,0.5,0.47,0.44,0.43,0.47,0.53,0.61,0.72,0.87,1.04,1.27,1.53,1.83,2.16,2.5,2.84,3.16,3.44,3.68,3.86,3.99,4.07,4.1,4.1,4.08,4.04,3.98,3.91,3.82,3.73,3.52,3.24,2.89,2.5,2.13,1.79,1.51,1.31,1.18,1.1,1.05,0.96,0.79,0.48,0.18,0,0,0,0,0
0.763,0.76,0.765,0.33,14.26,28.02,2.62,86.71,277.12,0,0.01,0.01,0.03,0.05,0.08,0.14,0.21,0.29,0.39,0.48,0.54,0.55,0.53,0.51,0.48,0.45,0.45,0.5,0.56,0.65,0.78,0.93,1.12,1.36,1.64,1.95,2.3,2.66,3,3.32,3.6,3.83,4,4.12,4.19,4.21,4.19,4.14,4.06,3.96,3.84,3.7,3.55,3.29,2.96,2.59,2.21,1.86,1.57,1.35,1.2,1.12,1.08,1.05,0.97,0.78,0.46,0.14,0,0,0,0,0
0.768,0.765,0.77,12.94,13.91,25.19,2.49,74.71,254.53,0,0.01,0.02,0.03,0.05,0.09,0.14,0.21,0.29,0.38,0.47,0.53,0.55,0.53,0.51,0.48,0.45,0.44,0.49,0.54,0.62,0.73,0.87,1.05,1.28,1.55,1.87,2.23,2.62,3,3.38,3.71,4,4.22,4.37,4.46,4.48,4.45,4.37,4.27,4.14,3.99,3.84,3.61,3.32,2.95,2.54,2.12,1.74,1.42,1.18,1.03,0.94,0.89,0.85,0.75,0.56,0.37,0,0,0,0,0,0
0.773,0.77,0.775,10.93,15.97,36.33,2.88,119.08,315.4,0.01,0.02,0.03,0.05,0.08,0.13,0.19,0.26,0.34,0.43,0.5,0.54,0.54,0.52,0.49,0.45,0.43,0.42,0.47,0.53,0.61,0.73,0.87,1.06,1.29,1.55,1.86,2.19,2.54,2.86,3.16,3.4,3.59,3.71,3.78,3.79,3.77,3.72,3.67,3.62,3.58,3.54,3.49,3.43,3.35,3.14,2.87,2.56,2.25,1.98,1.76,1.6,1.51,1.47,1.44,1.37,1.18,0.82,0.45,0,0,0,0,0
0.778,0.775,0.78,10.62,13.49,27.16,2.69,84.31,262.05,0,0.01,0.02,0.03,0.05,0.09,0.15,0.22,0.31,0.41,0.5,0.57,0.58,0.57,0.54,0.52,0.49,0.49,0.54,0.61,0.7,0.83,0.99,1.19,1.44,1.73,2.06,2.42,2.79,3.14,3.45,3.72,3.92,4.05,4.11,4.12,4.08,4.01,3.93,3.84,3.74,3.65,3.55,3.44,3.25,2.97,2.64,2.28,1.94,1.64,1.4,1.24,1.13,1.06,0.98,0.86,0.64,0.42,0,0,0,0,0,0
0.783,0.78,0.785,11.49,12.42,23.37,2.68,70.36,244.3,0,0.01,0.02,0.04,0.07,0.11,0.18,0.26,0.36,0.48,0.59,0.66,0.68,0.67,0.64,0.62,0.59,0.59,0.65,0.73,0.83,0.97,1.14,1.35,1.59,1.87,2.19,2.52,2.85,3.17,3.45,3.68,3.86,3.99,4.06,4.08,4.07,4.04,3.98,3.92,3.85,3.76,3.68,3.51,3.25,2.9,2.49,2.06,1.67,1.34,1.1,0.95,0.87,0.83,0.78,0.67,0.48,0.28,0,0,0,0,0,0
0.809,0.806,0.811,7.21,6.42,9.3,2.06,24.56,131.66,0,0,0,0.01,0.02,0.04,0.09,0.17,0.3,0.48,0.7,0.87,0.95,0.95,0.93,0.92,0.87,0.88,0.96,1.08,1.25,1.48,1.76,2.08,2.51,3,3.54,4.1,4.67,5.17,5.58,5.84,5.94,5.86,5.63,5.32,4.69,4.01,3.33,2.7,2.16,1.71,1.37,1.1,0.89,0.73,0.6,0.5,0.42,0.36,0.31,0.27,0.24,0.2,0.17,0.13,0.09,0.05,0,0,0,0,0,0
0.814,0.811,0.816,14.71,11.8,16.01,2.09,39.66,104.42,0,0,0,0,0.01,0.02,0.04,0.09,0.17,0.29,0.44,0.57,0.63,0.62,0.6,0.58,0.53,0.52,0.55,0.61,0.69,0.81,0.95,1.12,1.35,1.62,1.95,2.32,2.74,3.19,3.66,4.13,4.58,4.99,5.33,5.58,5.72,5.74,5.67,5.53,5.11,4.57,3.96,3.31,2.64,2.01,1.44,0.98,0.63,0.39,0.25,0.17,0.14,0.13,0.12,0.1,0.07,0.04,0,0,0,0,0,0
0.819,0.816,0.821,28.53,18.8,24.44,2.15,59.05,122.91,0,0,0,0,0.01,0.02,0.05,0.09,0.16,0.26,0.37,0.46,0.5,0.49,0.47,0.45,0.41,0.39,0.41,0.44,0.49,0.57,0.67,0.79,0.94,1.13,1.34,1.57,1.84,2.12,2.42,2.73,3.07,3.42,3.8,4.19,4.58,4.97,5.31,5.6,5.82,5.99,5.84,5.48,4.93,4.22,3.43,2.64,1.92,1.3,0.82,0.48,0.25,0.13,0.08,0.06,0.05,0.02,0,0,0,0,0,0
0.824,0.821,0.826,43.55,25.54,32.95,2.22,79.48,148.46,0,0,0,0,0.01,0.02,0.04,0.09,0.15,0.24,0.34,0.43,0.46,0.45,0.42,0.4,0.36,0.34,0.35,0.38,0.42,0.48,0.56,0.65,0.77,0.91,1.08,1.26,1.47,1.69,1.91,2.15,2.39,2.65,2.93,3.23,3.58,3.96,4.37,4.78,5.17,5.49,5.72,5.87,5.95,5.62,5.07,4.37,3.57,2.76,2,1.35,0.82,0.45,0.07,0,0,0,0,0,0,0,0,0
0.828,0.826,0.83,44.96,27.86,36.64,2.28,90.1,187.58,0,0,0.01,0.01,0.02,0.04,0.08,0.13,0.19,0.27,0.35,0.4,0.42,0.4,0.38,0.35,0.32,0.3,0.32,0.35,0.39,0.45,0.52,0.61,0.73,0.87,1.04,1.22,1.43,1.64,1.86,2.08,2.3,2.53,2.77,3.03,3.33,3.66,4.02,4.41,4.79,5.14,5.43,5.66,5.85,5.67,5.27,4.7,3.99,3.23,2.47,1.77,1.18,0.73,0.43,0.26,0.17,0.08,0,0,0,0,0,0
0.833,0.83,0.835,37.99,19.87,30.2,2.5,80.92,232.37,0,0,0,0.01,0.02,0.03,0.06,0.11,0.18,0.27,0.37,0.44,0.47,0.46,0.44,0.42,0.39,0.38,0.41,0.45,0.51,0.6,0.72,0.85,1.04,1.26,1.51,1.79,2.08,2.38,2.67,2.93,3.17,3.38,3.55,3.72,3.88,4.04,4.21,4.38,4.54,4.66,4.76,4.84,4.69,4.39,3.96,3.44,2.86,2.28,1.74,1.26,0.88,0.6,0.43,0.33,0.28,0.23,0.16,0.1,0,0,0,0
0.838,0.835,0.84,11.74,14.39,26.94,2.61,80.58,293.36,0,0,0,0.01,0.02,0.04,0.08,0.14,0.22,0.32,0.44,0.52,0.55,0.54,0.52,0.49,0.46,0.45,0.49,0.55,0.64,0.76,0.91,1.09,1.33,1.63,1.96,2.32,2.7,3.07,3.4,3.68,3.9,4.04,4.12,4.15,4.15,4.12,4.08,4.03,3.97,3.91,3.84,3.69,3.47,3.17,2.82,2.44,2.07,1.71,1.4,1.13,0.93,0.79,0.69,0.62,0.54,0.42,0.3,0.19,0,0,0,0
0.843,0.84,0.845,13.37,14.96,27.46,2.49,81.87,280.75,0,0,0,0.01,0.02,0.04,0.07,0.13,0.21,0.31,0.41,0.5,0.53,0.52,0.5,0.48,0.45,0.43,0.46,0.5,0.57,0.67,0.79,0.95,1.17,1.43,1.74,2.1,2.48,2.88,3.27,3.63,3.93,4.17,4.33,4.42,4.45,4.43,4.37,4.28,4.16,4.03,3.88,3.67,3.41,3.1,2.75,2.4,2.05,1.72,1.43,1.2,1.01,0.86,0.75,0.66,0.54,0.4,0.25,0.11,0,0,0,0
0.907,0.904,0.909,12.55,12.96,21.51,2.45,60.13,162.88,0,0,0,0.01,0.02,0.04,0.08,0.14,0.23,0.33,0.45,0.54,0.58,0.57,0.56,0.54,0.51,0.5,0.54,0.59,0.68,0.8,0.96,1.15,1.41,1.71,2.06,2.44,2.84,3.23,3.59,3.89,4.13,4.3,4.4,4.44,4.45,4.43,4.39,4.33,4.27,4.19,4.03,3.81,3.5,3.11,2.66,2.2,1.75,1.35,1.01,0.74,0.54,0.39,0.3,0.2,0.1,0,0,0,0,0,0,0
0.912,0.909,0.915,37.05,19.76,31.25,2.49,85.9,314.06,0,0,0,0.01,0.02,0.03,0.07,0.12,0.19,0.28,0.37,0.45,0.47,0.46,0.44,0.42,0.38,0.37,0.39,0.42,0.47,0.56,0.66,0.79,0.97,1.19,1.45,1.74,2.05,2.37,2.68,2.97,3.23,3.46,3.65,3.82,3.98,4.13,4.27,4.41,4.52,4.59,4.63,4.66,4.47,4.17,3.76,3.27,2.76,2.24,1.76,1.33,0.98,0.71,0.53,0.42,0.36,0.32,0.27,0.21,0.15,0.09,0.03,0
0.948,0.945,0.95,7.49,6.4,8.43,1.98,20.49,50.46,0,0,0,0,0.01,0.02,0.05,0.11,0.22,0.39,0.61,0.82,0.92,0.93,0.92,0.91,0.87,0.86,0.94,1.05,1.21,1.45,1.73,2.07,2.51,3.02,3.59,4.19,4.8,5.34,5.79,6.09,6.24,6.24,6.16,5.66,5.04,4.35,3.64,2.95,2.33,1.78,1.34,0.98,0.7,0.47,0.3,0.19,0.12,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.958,0.955,0.96,32.52,18.32,26.66,2.37,69.52,167.73,0,0,0,0.01,0.02,0.04,0.07,0.13,0.21,0.31,0.43,0.51,0.54,0.52,0.49,0.45,0.41,0.38,0.4,0.44,0.5,0.58,0.69,0.83,1.01,1.23,1.49,1.77,2.09,2.41,2.72,3.02,3.3,3.56,3.79,4.01,4.22,4.43,4.62,4.79,4.92,5.02,5.09,4.93,4.62,4.17,3.61,2.99,2.39,1.82,1.34,0.95,0.66,0.46,0.33,0.21,0.08,0,0,0,0,0,0,0
0.971,0.968,0.973,32.38,15.86,24.67,2.47,66.13,135.35,0,0,0,0.01,0.02,0.04,0.07,0.12,0.2,0.3,0.41,0.49,0.52,0.5,0.47,0.45,0.41,0.39,0.43,0.48,0.56,0.67,0.81,0.98,1.21,1.48,1.79,2.13,2.48,2.84,3.17,3.46,3.71,3.9,4.05,4.15,4.24,4.31,4.38,4.44,4.5,4.54,4.57,4.47,4.26,3.92,3.47,2.94,2.38,1.83,1.33,0.9,0.57,0.24,0,0,0,0,0,0,0,0,0,0
0.983,0.98,0.986,77.01,40.83,54.99,2.82,139.4,255.6,0,0,0,0.01,0.01,0.03,0.05,0.09,0.14,0.21,0.29,0.35,0.37,0.35,0.33,0.31,0.29,0.27,0.3,0.33,0.37,0.44,0.52,0.62,0.76,0.92,1.1,1.31,1.52,1.74,1.95,2.13,2.27,2.38,2.45,2.49,2.52,2.55,2.61,2.71,2.88,3.12,3.45,3.85,4.29,4.73,5.15,5.55,5.6,5.39,4.91,4.21,3.39,2.54,1.78,1.16,0.69,0.23,0,0,0,0,0,0
